number,vs,lang,sentence,modif-sentence,Relevance,Quality
297,MAC VS PC_objA,en,"Как правило, Mac версия MySQL Workbench кажется значительно легче работать с PC и более гладко, чем PC.","Как правило, Mac версия MySQL Workbench кажется значительно легче работать с PC и более гладко, чем PC.",1,0
298,MAC VS PC_objA,en,"Я считаю, что для основного пользователя компьютера, возможно, лак будет легче и безопаснее использовать, чем ПК.","Я считаю, что для основного пользователя компьютера, возможно, лак будет легче и безопаснее использовать, чем ПК.",2,0
299,MAC VS PC_objA,en,"Не только с ПК медленнее и труднее работать, чем с Маком, но и он ненавидит твои репродуктивные органы.","Не только с ПК медленнее и труднее работать, чем с Маком, но и он ненавидит твои репродуктивные органы.",2,0
300,MAC VS PC_objA,en,"Выражение ""пользователи Mac/Linux умнее/более творчески/лучше, чем пользователи ПК"" не служит какой-либо иной цели, кроме как вызвать раздражение людей.","Выражение ""пользователи Mac/Linux умнее/более творчески/лучше, чем пользователи ПК"" не служит какой-либо иной цели, кроме как вызвать раздражение людей.",1,2
301,MAC VS PC_objA,en,"Я не жалею о том, что переключился с тех пор, как MAC быстрее и легче справиться с моим старым компьютерным ноутбуком.","Я не жалею о том, что переключился с тех пор, как MAC быстрее и легче справиться с моим старым компьютерным ноутбуком.",2,0
302,MAC VS PC_objA,en,"Зависит от скорости процессора, но процессорный мак 1,5 и более гц будет гладче и чаще всего быстрее чем 3,2 ггц.","Зависит от скорости процессора, но процессорный мак 1,5 и более гц будет гладче и чаще всего быстрее чем 3,2 ггц.",1,1
303,MAC VS PC_objB,en,"Я заметил, что мой Firefox работает на Маке лучше и быстрее, чем Windows.","Я заметил, что мой Firefox работает на Маке лучше и быстрее, чем Windows.",1,2
304,MAC VS PC_objB,en,"Но есть компьютерные ноутбуки, которые легче, круче, спокойнее (беспилотный 1,1gz Pentium-M) и имеют более продолжительный срок службы батарей, чем любой Mac'Book.","Но есть компьютерные ноутбуки, которые легче, круче, спокойнее (беспилотный 1,1gz Pentium-M) и имеют более продолжительный срок службы батарей, чем любой Mac'Book.",1,1
305,MAC VS PC_objB,en,"Мой дешевый ПК управляет WOW, честно говоря, одной из более простых игр, лучше, чем мой Мак.","Мой дешевый ПК управляет WOW, честно говоря, одной из более простых игр, лучше, чем мой Мак.",2,0
306,MAC VS PC_objB,en,"Я использовал MacBook Pros, потому что Windows работает быстрее и выглядит лучше на Mac, чем на Dells и HPs.","Я использовал MacBook Pros, потому что Windows работает быстрее и выглядит лучше на Mac, чем на Dells и HPs.",1,1
307,MAC VS PC_objB,en,"Текущий ПК, на котором я создал себя, у него есть оборудование лучше и быстрее, чем у любого Мака для продажи, буквально каждый компонент быстрее и более высокого качества.","Текущий ПК, на котором я создал себя, у него есть оборудование лучше и быстрее, чем у любого Мака для продажи, буквально каждый компонент быстрее и более высокого качества.",2,1
308,MAC VS PC_objB,en,"Тот, который почти на 10x быстрее, чем мой шестилетний Леново, и тем не менее, окружающая среда, где я провел 95% своего времени (Outlook), исполнила BETTER и FASTER там, чем на моем Маке.","Тот, который почти на 10x быстрее, чем мой шестилетний Леново, и тем не менее, окружающая среда, где я провел 95% своего времени (Outlook), исполнила BETTER и FASTER там, чем на моем Маке.",1,0
309,MAC VS PC_objB,en,"Однако (и это часть, которая, возможно, устарела), каждый из них был в целом быстрее и лучше поддерживается на Windows, чем на Mac.","Однако (и это часть, которая, возможно, устарела), каждый из них был в целом быстрее и лучше поддерживается на Windows, чем на Mac.",1,1
310,MAC VS PC_objB,en,"Я никогда не сталкивался с причинами того, почему компьютерная версия офиса также намного лучше и проще для использования, чем версия Управления ВКП, которая очень странна.","Я никогда не сталкивался с причинами того, почему компьютерная версия офиса также намного лучше и проще для использования, чем версия Управления ВКП, которая очень странна.",0,1
311,MAC VS PC_objB,en,"И пожалуйста, не принимайте следующее заявление как знак того, что я фанат Мака, потому что я не: Макс легче установить, и общий опыт во многих областях лучше, чем Виста ПК.","И пожалуйста, не принимайте следующее заявление как знак того, что я фанат Мака, потому что я не: Макс легче установить, и общий опыт во многих областях лучше, чем Виста ПК.",1,0
312,MAC VS PC_objB,en,"Например, Снежный леопард занял меньше времени, меньше места для жесткого диска, и он был лучше, чем леопард на моем маке.","Например, Снежный леопард занял меньше времени, меньше места для жесткого диска, и он был лучше, чем леопард на моем маке.",1,0
313,MAC VS PC_objA,ru,"Дизайн устройства я бы охарактеризовал, как один из лучших у PC, но до MAC-устройств, конечно, далеко.","Дизайн устройства я бы охарактеризовал, как один из лучших у PC, но до MAC-устройств, конечно, далеко.",1,2
314,MAC VS PC_objA,ru,"С Mac и iPhone цена на билеты выше, чем с PC Говорят, что владельцы Mac и iPhone видят повышенные цены на билеты.","С Mac и iPhone цена на билеты выше, чем с PC Говорят, что владельцы Mac и iPhone видят повышенные цены на билеты.",1,2
315,MAC VS PC_objB,ru,"Несмотря на это, сегодня Mac вряд ли способен полностью заменить PC.","Несмотря на это, сегодня Mac вряд ли способен полностью заменить PC.",2,2
316,MAC VS PC_objB,ru,"Это не так, конечно, но тайтлов для Mac OS X действительно маловато, по сравнению с PC.","Это не так, конечно, но тайтлов для Mac OS X действительно маловато, по сравнению с PC.",2,1
317,MAC VS PC_objB,ru,"В России PC предпочтительнее Mac по нескольким причинам: прежде всего эта платформа дешева и мобильна, то есть легко поддается апгрейду, чего нельзя сказать о Mac.","В России PC предпочтительнее Mac по нескольким причинам: прежде всего эта платформа дешева и мобильна, то есть легко поддается апгрейду, чего нельзя сказать о Mac.",2,2
318,пепси VS кока-кола_objA,en,"Пепси лучше, чем кокс.","Пепси лучше, чем кокс.",2,1
319,пепси VS кока-кола_objA,en,Пепси вкуснее Коки.,Пепси вкуснее Коки.,2,1
320,пепси VS кока-кола_objA,en,"Пепси лучше, чем кокс!","Пепси лучше, чем кокс!",2,1
321,пепси VS кока-кола_objA,en,Пепси лучше Коки.,Пепси лучше Коки.,2,1
322,пепси VS кока-кола_objA,en,Пепси вкуснее Коки.,Пепси вкуснее Коки.,2,1
323,пепси VS кока-кола_objA,en,Пепси вкуснее Коки.,Пепси вкуснее Коки.,2,1
324,пепси VS кока-кола_objA,en,Пепси действительно лучше Коки.,Пепси действительно лучше Коки.,2,1
325,пепси VS кока-кола_objA,en,"Я думала, что ваниль Пепси более гладкая, чем ванильная кола.","Я думала, что ваниль Пепси более гладкая, чем ванильная кола.",2,1
326,пепси VS кока-кола_objA,en,"Пепси на вкус лучше, чем Кока.","Пепси на вкус лучше, чем Кока.",2,1
327,пепси VS кока-кола_objA,en,Пепси намного лучше Коки.,Пепси намного лучше Коки.,2,1
328,пепси VS кока-кола_objB,en,Кока-кола намного выше Пепси!,Кока-кола намного выше Пепси!,2,0
329,пепси VS кока-кола_objB,en,Кока-кола явно выше Пепси.,Кока-кола явно выше Пепси.,2,0
330,пепси VS кока-кола_objB,en,намного выше Пепси.,намного выше Пепси.,1,0
331,пепси VS кока-кола_objB,en,Диетическая кола намного выше диета Пепси.,Диетическая кола намного выше диета Пепси.,2,0
332,пепси VS кока-кола_objB,en,"ГФУ и все эти джаз, но коксовые продукты выше Пепси.","ГФУ и все эти джаз, но коксовые продукты выше Пепси.",2,0
333,пепси VS кока-кола_objB,en,2) Кола падает быстрее Пепси.,2) Кола падает быстрее Пепси.,2,0
334,пепси VS кока-кола_objB,en,Кока-кола лучше Пепси.,Кока-кола лучше Пепси.,2,2
335,пепси VS кока-кола_objB,en,- Кока-кола лучше Пепси.,- Кока-кола лучше Пепси.,2,2
336,пепси VS кока-кола_objB,en,Кока-кола вкуснее Пепси.,Кока-кола вкуснее Пепси.,2,2
337,пепси VS кока-кола_objB,en,"Кока лучше, чем Пепси!!!","Кока лучше, чем Пепси!!!",2,2
338,пепси VS кока-кола_objA,ru,"Если цена на «Кока-Колу» вырастет, спрос на «Пепси» должен увеличиться, потому что многие потребители «Кока-Колы» перейдут на «Пепси».","Если цена на «Кока-Колу» вырастет, спрос на «Пепси» должен увеличиться, потому что многие потребители «Кока-Колы» перейдут на «Пепси».",1,2
339,пепси VS кока-кола_objA,ru,"Теперь, однако, «Пепси-кола» проводит даже более агрессивную стратегию, чем «Кока-кола».","Теперь, однако, «Пепси-кола» проводит даже более агрессивную стратегию, чем «Кока-кола».",1,2
340,пепси VS кока-кола_objA,ru,"Кока-кола всегда была безалкогольным напитком номер один, но её первенство начала оспаривать пепси-кола.","Кока-кола всегда была безалкогольным напитком номер один, но её первенство начала оспаривать пепси-кола.",2,2
341,пепси VS кока-кола_objA,ru,"Вместо Кока-Колы можно использовать Пепси, Фанту или Спрайт – эффект будет схожим.","Вместо Кока-Колы можно использовать Пепси, Фанту или Спрайт – эффект будет схожим.",1,2
342,пепси VS кока-кола_objA,ru,"Исследования 1975 года показали, что «Пепси-Кола» обыграла «Кока-Колу» в слепых дегустациях, но «Кока-Кола» неизменно выигрывала, если люди знали, что они пьют.","Исследования 1975 года показали, что «Пепси-Кола» обыграла «Кока-Колу» в слепых дегустациях, но «Кока-Кола» неизменно выигрывала, если люди знали, что они пьют.",2,2
343,пепси VS кока-кола_objA,ru,"После двухмесячной демонстрации этого ролика продажа «Пепси» подскочила на 50 %, а «Кока-колы» — уменьшилась.","После двухмесячной демонстрации этого ролика продажа «Пепси» подскочила на 50 %, а «Кока-колы» — уменьшилась.",1,1
344,пепси VS кока-кола_objA,ru,"Вместо Кока-колы с таким же успехом можно применить ее прямого конкурента — Пепси, состав у них идентичный.","Вместо Кока-колы с таким же успехом можно применить ее прямого конкурента — Пепси, состав у них идентичный.",2,2
345,пепси VS кока-кола_objA,ru,"Вместо кока-колы можно использовать и пепси-колу, а также напитки других производителей, похожие по своим вкусовым качествам.","Вместо кока-колы можно использовать и пепси-колу, а также напитки других производителей, похожие по своим вкусовым качествам.",1,2
346,пепси VS кока-кола_objA,ru,"Особенное внимание уделяется в радиопередаче тому, что пепси-кола выпускается в бутылках большего размера, чем кока-кола и стоит всего пять центов, в то время кока-кола стоит обычно дороже.","Особенное внимание уделяется в радиопередаче тому, что пепси-кола выпускается в бутылках большего размера, чем кока-кола и стоит всего пять центов, в то время кока-кола стоит обычно дороже.",2,1
347,пепси VS кока-кола_objA,ru,"Просто, на самом деле, смешивать привезенные напитки лучше не с «кока-колой», а с «пепси», как это и делают на Гоа.","Просто, на самом деле, смешивать привезенные напитки лучше не с «кока-колой», а с «пепси», как это и делают на Гоа.",2,1
348,пепси VS кока-кола_objB,ru,"Например, если они ожидают, что «Кока-кола» будет работать лучше, чем «Пепси», они сделают «длинную» колу и короткую «Пепси».","Например, если они ожидают, что «Кока-кола» будет работать лучше, чем «Пепси», они сделают «длинную» колу и короткую «Пепси».",1,0
349,пепси VS кока-кола_objB,ru,"Пепси-кола для этой цели тоже успешно используется, но Игнобелевскую премию дали только Кока-Коле.","Пепси-кола для этой цели тоже успешно используется, но Игнобелевскую премию дали только Кока-Коле.",1,1
350,пепси VS кока-кола_objB,ru,В начале 50-х годов кока-кола в 5 раз опережала пепси-колу.,В начале 50-х годов кока-кола в 5 раз опережала пепси-колу.,2,1
351,пепси VS кока-кола_objB,ru,"Кока-кола вкуснее Пепси-колы, гамбургеры можно есть и есть, виски, конечно, – благородный напиток, но водка лучше будет, привычней.","Кока-кола вкуснее Пепси-колы, гамбургеры можно есть и есть, виски, конечно, – благородный напиток, но водка лучше будет, привычней.",2,1
352,пепси VS кока-кола_objB,ru,"Дорогие, удачные кампании вроде «Пепси бросает вызов» превратили «Пепси» из неудачника в гиганта, равного «Кока-коле».","Дорогие, удачные кампании вроде «Пепси бросает вызов» превратили «Пепси» из неудачника в гиганта, равного «Кока-коле».",1,2
353,пепси VS кока-кола_objB,ru,"19: 54, 10 Май Кока против пепси // Тест «Ъ»: различаете ли вы две популярные газировки В мае 1886 года была изобретена кока-кола, позже появился ее главный конкурент — пепси-кола.","19: 54, 10 Май Кока против пепси // Тест «Ъ»: различаете ли вы две популярные газировки В мае 1886 года была изобретена кока-кола, позже появился ее главный конкурент — пепси-кола.",1,1
354,пепси VS кока-кола_objB,ru,"18: 33, 10 Май Кока против пепси // Тест «Ъ»: различаете ли вы две популярные газировки В мае 1886 года была изобретена кока-кола, позже появился ее главный конкурент — пепси-кола.","18: 33, 10 Май Кока против пепси // Тест «Ъ»: различаете ли вы две популярные газировки В мае 1886 года была изобретена кока-кола, позже появился ее главный конкурент — пепси-кола.",1,1
355,пепси VS кока-кола_objB,ru,"В 1960 году кока-колу пили в 2, 5 раза больше, чем пепси-колу, а в 1985 - всего в 1, 15 раза.","В 1960 году кока-колу пили в 2, 5 раза больше, чем пепси-колу, а в 1985 - всего в 1, 15 раза.",2,2
356,пепси VS кока-кола_objB,ru,"И когда эта когнитивная часть мозга более высокого уровня работала, кока-кола добротно выбила Пепси.","И когда эта когнитивная часть мозга более высокого уровня работала, кока-кола добротно выбила Пепси.",1,0
357,пепси VS кока-кола_objB,ru,"Учитывая вышеуказанные особенности детской психики, можно не только с ранних лет убедить вас в том, что, например, «Кока-кола» действительно лучше «Пепси».","Учитывая вышеуказанные особенности детской психики, можно не только с ранних лет убедить вас в том, что, например, «Кока-кола» действительно лучше «Пепси».",1,1
358,Поиск в Google VS Поиск Yahoo_objA,en,"Конкуренция всегда хороша, Поиск Yahoo сейчас очень милый, и она определенно топчет все, что MSFT когда-либо делали в поисковом поле (не то, что это трудно переборщить с ними), но это действительно хороший опыт IMHO, чем поиск в Google.","Конкуренция всегда хороша, Поиск Yahoo сейчас очень милый, и она определенно топчет все, что MSFT когда-либо делали в поисковом поле (не то, что это трудно переборщить с ними), но это действительно хороший опыт IMHO, чем поиск в Google.",2,0
359,Поиск в Google VS Поиск Yahoo_objB,en,Примерно в первой половине 2008 года поиск Yahoo был лучше поиска Google.,Примерно в первой половине 2008 года поиск Yahoo был лучше поиска Google.,2,2
360,Поиск в Google VS Поиск Yahoo_objB,en,"В первой половине 2007 года поиск Yahoo был, вероятно, лучше, чем поиск в Google.","В первой половине 2007 года поиск Yahoo был, вероятно, лучше, чем поиск в Google.",2,2
361,Поиск в Google VS Поиск Yahoo_objB,en,"Это не просто ""шумные"" результаты, поиск Yahoo намного лучше, чем поиск в Google.","Это не просто ""шумные"" результаты, поиск Yahoo намного лучше, чем поиск в Google.",2,2
362,Поиск в Google VS Поиск Yahoo_objA,ru,"Поиск изображений Yahoo Хотя Yahoo может показаться многим нашим читателям несколько устаревшим, Yahoo действительно один из лучших вариантов для поиска изображений.","Поиск изображений Yahoo Хотя Yahoo может показаться многим нашим читателям несколько устаревшим, Yahoo действительно один из лучших вариантов для поиска изображений.",1,2
363,Поиск в Google VS Поиск Yahoo_objA,ru,"Поиск картинок Yahoo Хотя многим нашим читателям Yahoo может показаться немного унылым, для поиска изображений Yahoo действительно является одним из лучших вариантов.","Поиск картинок Yahoo Хотя многим нашим читателям Yahoo может показаться немного унылым, для поиска изображений Yahoo действительно является одним из лучших вариантов.",1,1
364,Поиск в Google VS Поиск Yahoo_objB,ru,"Специализированный поиск по этому ресурсу часто полезнее, чем поиск в том же Google.","Специализированный поиск по этому ресурсу часто полезнее, чем поиск в том же Google.",1,2
365,Internet Explorer VS Firefox_objA,en,"Internet Explorer(9) быстрее, лучше и имеет меньше добавлений, чем Firefox, гугл-хром и каждый другой браузер.","Internet Explorer(9) быстрее, лучше и имеет меньше добавлений, чем Firefox, гугл-хром и каждый другой браузер.",2,1
366,Internet Explorer VS Firefox_objA,en,"В то время как различные браузеры, скорее всего, будут продолжать перескакивать друг с другом с функциями и функциональностью, с тех пор, как этот Интернет-экспедитор 8 написал, имеет несколько преимуществ с точки зрения удобства использования и безопасности, что, по моему мнению, делает его лучшим и более безопасным выбором, чем Firefox.","В то время как различные браузеры, скорее всего, будут продолжать перескакивать друг с другом с функциями и функциональностью, с тех пор, как этот Интернет-экспедитор 8 написал, имеет несколько преимуществ с точки зрения удобства использования и безопасности, что, по моему мнению, делает его лучшим и более безопасным выбором, чем Firefox.",1,0
367,Internet Explorer VS Firefox_objA,en,"Mozilla Firefox Более медленный, чем Internet Explorer (IE) .","Mozilla Firefox Более медленный, чем Internet Explorer (IE) .",2,2
368,Internet Explorer VS Firefox_objA,en,"Несмотря на всю эту шумиху, несмотря на все мифы, Firefox 1.x имеет на данный момент худший рекорд безопасности в 2006 году, чем Internet Explorer 6.x.","Несмотря на всю эту шумиху, несмотря на все мифы, Firefox 1.x имеет на данный момент худший рекорд безопасности в 2006 году, чем Internet Explorer 6.x.",2,1
369,Internet Explorer VS Firefox_objA,en,Internet Explorer начинается быстрее Firefox .,Internet Explorer начинается быстрее Firefox .,2,1
370,Internet Explorer VS Firefox_objA,en,"Это хуже, чем интернет-разведчик!","Это хуже, чем интернет-разведчик!",0,0
371,Internet Explorer VS Firefox_objA,en,"Internet Explorer работает быстрее на Windows, чем Firefox.","Internet Explorer работает быстрее на Windows, чем Firefox.",2,2
372,Internet Explorer VS Firefox_objA,en,"Internet Explorer 8 намного безопаснее, затем Firefox 3 или Google Chrome.","Internet Explorer 8 намного безопаснее, затем Firefox 3 или Google Chrome.",2,1
373,Internet Explorer VS Firefox_objA,en,"Согласно предварительным данным, Интернет-экспериментер 9 будет быстрее, чем Firefox — крупный переворот для Microsoft в его попытках восстановить рыночную долю.","Согласно предварительным данным, Интернет-экспериментер 9 будет быстрее, чем Firefox — крупный переворот для Microsoft в его попытках восстановить рыночную долю.",2,1
374,Internet Explorer VS Firefox_objA,en,Internet Explorer 8 лучше Firefox 3 .,Internet Explorer 8 лучше Firefox 3 .,2,2
375,Internet Explorer VS Firefox_objB,en,"Он гораздо быстрее, безопаснее и гладче, чем Интернет-экспериментатор.","Он гораздо быстрее, безопаснее и гладче, чем Интернет-экспериментатор.",1,0
376,Internet Explorer VS Firefox_objB,en,"Firefox увеличил долю рынка, значительно лучше, дружелюбнее, безопаснее и легче использовать продукт, чем Internet Explorer.","Firefox увеличил долю рынка, значительно лучше, дружелюбнее, безопаснее и легче использовать продукт, чем Internet Explorer.",2,0
377,Internet Explorer VS Firefox_objB,en,"Firefox — браузер быстрее, легче и безопаснее, чем Internet Explorer 7.","Firefox — браузер быстрее, легче и безопаснее, чем Internet Explorer 7.",2,2
378,Internet Explorer VS Firefox_objB,en,"Firefox Mozilla - лучше и безопаснее, чем Microsoft Internet Explorer (я бы также добавил быстрее).","Firefox Mozilla - лучше и безопаснее, чем Microsoft Internet Explorer (я бы также добавил быстрее).",2,2
379,Internet Explorer VS Firefox_objB,en,"Firefox быстрее и, как сообщается, безопаснее, чем Internet Explorer.","Firefox быстрее и, как сообщается, безопаснее, чем Internet Explorer.",2,2
380,Internet Explorer VS Firefox_objB,en,"Mozilla выпустила Firefox 3.5, и скачивание 7,6MB происходит с новыми функциональными возможностями, более надежной и гораздо более высокой производительностью... загружая страницы в два раза быстрее Firefox 3.0.x и до 5x быстрее, чем Internet Explorer 8.","Mozilla выпустила Firefox 3.5, и скачивание 7,6MB происходит с новыми функциональными возможностями, более надежной и гораздо более высокой производительностью... загружая страницы в два раза быстрее Firefox 3.0.x и до 5x быстрее, чем Internet Explorer 8.",2,2
381,Internet Explorer VS Firefox_objB,en,"Firefox гораздо безопаснее и легче использовать, чем Internet Explorer.","Firefox гораздо безопаснее и легче использовать, чем Internet Explorer.",2,2
382,Internet Explorer VS Firefox_objB,en,"По-моему, Firefox намного быстрее и лучше, чем Internet Explorer.","По-моему, Firefox намного быстрее и лучше, чем Internet Explorer.",2,2
383,Internet Explorer VS Firefox_objB,en,"Firefox является относительно легким браузером, что делает его более быстрым и простым для использования, чем другие браузеры, такие как Интернет-экспериментер.","Firefox является относительно легким браузером, что делает его более быстрым и простым для использования, чем другие браузеры, такие как Интернет-экспериментер.",2,1
384,Internet Explorer VS Firefox_objB,en,"Firefox все еще лучше, более приспособлен, быстрее, и рушится меньше, чем Internet Explorer.","Firefox все еще лучше, более приспособлен, быстрее, и рушится меньше, чем Internet Explorer.",2,1
385,Internet Explorer VS Firefox_objA,ru,"На продвижение Firefox денег нет, в связи с чем он не так популярен, как Internet Explorer и Chrome.","На продвижение Firefox денег нет, в связи с чем он не так популярен, как Internet Explorer и Chrome.",2,2
386,Internet Explorer VS Firefox_objA,ru,И именно поэтому доля Internet Explorer выросла за счет доли Firefox.,И именно поэтому доля Internet Explorer выросла за счет доли Firefox.,1,1
387,Internet Explorer VS Firefox_objA,ru,"Mozilla Firefox Всегда Firefox являлся вторым по популярности браузером на ПК в мире, уступая лишь Internet Explorer.","Mozilla Firefox Всегда Firefox являлся вторым по популярности браузером на ПК в мире, уступая лишь Internet Explorer.",2,2
388,Internet Explorer VS Firefox_objA,ru,Выпуск новой версии Firefox лишь на месяц отстал от выпуска Internet Explorer 9.,Выпуск новой версии Firefox лишь на месяц отстал от выпуска Internet Explorer 9.,1,2
389,Internet Explorer VS Firefox_objB,ru,"Кстати, игра не работает в Internet Explorer, так что качай Firefox :)","Кстати, игра не работает в Internet Explorer, так что качай Firefox :)",1,2
390,Internet Explorer VS Firefox_objB,ru,"Во-первых, в Firefox текст можно плавно масштабировать, чего нельзя делать в Internet Explorer.","Во-первых, в Firefox текст можно плавно масштабировать, чего нельзя делать в Internet Explorer.",1,2
391,Internet Explorer VS Firefox_objB,ru,После падения производительности Internet Explorer люди начали переходить на Chrome и Firefox.,После падения производительности Internet Explorer люди начали переходить на Chrome и Firefox.,2,2
392,Internet Explorer VS Firefox_objB,ru,"Firefox является предпочтительным браузером на кампуса и значительно быстрее, чем Internet Explorer.","Firefox является предпочтительным браузером на кампуса и значительно быстрее, чем Internet Explorer.",2,1
393,Internet Explorer VS Firefox_objB,ru,"Если вы привыкли к Internet Explorer, попробуйте другие, более эффективные браузеры (Chrome, Firefox или Opera).","Если вы привыкли к Internet Explorer, попробуйте другие, более эффективные браузеры (Chrome, Firefox или Opera).",2,2
394,Internet Explorer VS Firefox_objB,ru,"К примеру, в Internet Explorer разметка выглядит слегка хаотично, в Firefox – намного нагляднее.","К примеру, в Internet Explorer разметка выглядит слегка хаотично, в Firefox – намного нагляднее.",1,2
395,Internet Explorer VS Firefox_objB,ru,"У Firefox 3 уже около тридцати процентов рынка, что немного больше, чем у Internet Explorer 7.","У Firefox 3 уже около тридцати процентов рынка, что немного больше, чем у Internet Explorer 7.",1,2
396,Internet Explorer VS Firefox_objB,ru,Для просмотра ЭЛЕКТРОННОГО ДНЕВНИКА лучше использовать Mozilla Firefox или Opera (вместо Internet Explorer).,Для просмотра ЭЛЕКТРОННОГО ДНЕВНИКА лучше использовать Mozilla Firefox или Opera (вместо Internet Explorer).,1,2
397,Internet Explorer VS Firefox_objB,ru,"Вы можете воспользоваться RTE, если используете Internet Explorer 6 или выше или Firefox 1.5 или выше.","Вы можете воспользоваться RTE, если используете Internet Explorer 6 или выше или Firefox 1.5 или выше.",0,2
398,Internet Explorer VS Firefox_objB,ru,Данный Firefox Firefox Браузер Firefox постепенно становится мощным конкурентом Internet Explorer.,Данный Firefox Firefox Браузер Firefox постепенно становится мощным конкурентом Internet Explorer.,1,1
399,БМВ VS Ауди_objA,en,Audi в целом ниже BMW и Mercedes.,Audi в целом ниже BMW и Mercedes.,1,1
400,БМВ VS Ауди_objA,en,В этом отношении iDrive BMW намного выше Audi.,В этом отношении iDrive BMW намного выше Audi.,2,0
401,БМВ VS Ауди_objA,en,Я фанат BMW и потому что он выше Audi.,Я фанат BMW и потому что он выше Audi.,1,1
402,БМВ VS Ауди_objA,en,"Тем не менее, BMW все еще быстрее Audi.","Тем не менее, BMW все еще быстрее Audi.",2,2
403,БМВ VS Ауди_objA,en,"Тем не менее, BMW легче, чем Audi.","Тем не менее, BMW легче, чем Audi.",2,1
404,БМВ VS Ауди_objA,en,"В целом качество зданий Audi/VW ниже, чем BMW M3, о чем свидетельствуют доклады о качестве и обследования 8.","В целом качество зданий Audi/VW ниже, чем BMW M3, о чем свидетельствуют доклады о качестве и обследования 8.",2,1
405,БМВ VS Ауди_objA,en,"Есть больше людей из BMW, которые проповедуют, что BMW лучше Audi, чем Audi, которые проповедуют, что Audi лучше BMW в моей области.","Есть больше людей из BMW, которые проповедуют, что BMW лучше Audi, чем Audi, которые проповедуют, что Audi лучше BMW в моей области.",1,1
406,БМВ VS Ауди_objA,en,"Он был больше и медленнее, чем эквивалентный BMW.","Он был больше и медленнее, чем эквивалентный BMW.",1,2
407,БМВ VS Ауди_objA,en,"Новый A8 делает гораздо лучше, чем предыдущий автомобиль доказывает, что Audi делает что-то правильно, хотя и медленнее, чем MB/BMW/Lexus.","Новый A8 делает гораздо лучше, чем предыдущий автомобиль доказывает, что Audi делает что-то правильно, хотя и медленнее, чем MB/BMW/Lexus.",1,1
408,БМВ VS Ауди_objA,en,"Клянусь, водители Audi намного хуже, чем BMw.","Клянусь, водители Audi намного хуже, чем BMw.",1,2
409,БМВ VS Ауди_objB,en,"Audi A8 чувствует себя легче, быстрее, и кажется, что отслеживается немного лучше, когда вожусь очень сильно... больше чем Mercedes S Class или BMW 7 Series.","Audi A8 чувствует себя легче, быстрее, и кажется, что отслеживается немного лучше, когда вожусь очень сильно... больше чем Mercedes S Class или BMW 7 Series.",2,0
410,БМВ VS Ауди_objB,en,"A6 более мощная, управляемая лучше, легче, чем BMW 5 серии.","A6 более мощная, управляемая лучше, легче, чем BMW 5 серии.",2,1
411,БМВ VS Ауди_objB,en,"Джереми сам признал, что Audi опережает технологии, быстрее, но не быстрее, чем BMW.","Джереми сам признал, что Audi опережает технологии, быстрее, но не быстрее, чем BMW.",2,1
412,БМВ VS Ауди_objB,en,"Качество лекса лучше, чем BMW/Benz 4.","Качество лекса лучше, чем BMW/Benz 4.",0,1
413,БМВ VS Ауди_objB,en,"Некоторые из их внутренних битов лучше, чем BMW/MB, а некоторые хуже.","Некоторые из их внутренних битов лучше, чем BMW/MB, а некоторые хуже.",0,1
414,БМВ VS Ауди_objB,en,"А интерьер Audi намного лучше, чем BMW.","А интерьер Audi намного лучше, чем BMW.",2,2
415,БМВ VS Ауди_objB,en,"Внутри намного лучше, чем в BMW.","Внутри намного лучше, чем в BMW.",0,1
416,БМВ VS Ауди_objB,en,"Помимо всего этого, перепродажа на BMw хуже, чем Mercedes и Audi, кстати... люди, которые купили последний стиль тела m5, были промочены.","Помимо всего этого, перепродажа на BMw хуже, чем Mercedes и Audi, кстати... люди, которые купили последний стиль тела m5, были промочены.",1,1
417,БМВ VS Ауди_objB,en,"Моя Ауди милее, чем весь твой педик M BMW.","Моя Ауди милее, чем весь твой педик M BMW.",1,0
418,БМВ VS Ауди_objB,en,"Дизайн IMHO Audi, качественная производительность (как общий пакет) намного выше, чем BMW!","Дизайн IMHO Audi, качественная производительность (как общий пакет) намного выше, чем BMW!",2,1
419,БМВ VS Ауди_objA,ru,Следующий момент — БМВ все еще дороже Ауди в ремонте.,Следующий момент — БМВ все еще дороже Ауди в ремонте.,2,1
420,БМВ VS Ауди_objA,ru,Знакомые советуют взять ауди. а я болше склоняюсь к бмв Х5 !,Знакомые советуют взять ауди. а я болше склоняюсь к бмв Х5 !,1,2
