labels	answer	Object1	Object2	CommonObj	Aspect	text
0	Из-за того, что в чае содержится кофеин, лучше заваривать некрепкий напиток.	коф	ча		кофеин	Из-за того, что в [SECOND_ENTITY] содержится [FIRST_ENTITY], лучше заваривать некрепкий напиток.
0	Употребление кофеина (чай, кофе) лучше минимизировать, так как он не способствует гидратации организма.	коф	ча		кофеин	Употребление [FIRST_ENTITY] ([SECOND_ENTITY], [FIRST_ENTITY]) лучше минимизировать, так как он не способствует гидратации организма.
0	Форма кистей и спонжей у подделок кисточки и спонжи зачастую имеют формы, отличные от оригиналов: более вытянутые, широкие, и это в лучшем случае.	кист	спонж			Форма [FIRST_ENTITY] и [SECOND_ENTITY] у подделок [FIRST_ENTITY] и [SECOND_ENTITY] зачастую имеют формы, отличные от оригиналов: более вытянутые, широкие, и это в лучшем случае.
0	«если раньше наши самолеты были не хуже иностранных, то сейчас это совсем не так, потому что пока airbus и boeing двигались вперед, мы откатывались назад», — говорит вручтель.	Boeing	Airbus	самолет		«если раньше наши самолеты были не хуже иностранных, то сейчас это совсем не так, потому что пока [SECOND_ENTITY] и [FIRST_ENTITY] двигались вперед, мы откатывались назад», — говорит вручтель.
0	Черный чай, богатый кофеином, во время беременности лучше заменить травяным напитком с мятой или мелиссой.	коф	ча		кофеин	Черный [SECOND_ENTITY], богатый [FIRST_ENTITY], во время беременности лучше заменить травяным напитком с мятой или мелиссой.
0	Другие ресурсы mig и tig | типы сварки, материалы и области применения виды методов сварки mig против tig: какой из них лучше всего подходит для вашего применения?	mig	tig		сварк	Другие ресурсы [FIRST_ENTITY] и [SECOND_ENTITY] | типы сварки, материалы и области применения виды методов сварки [FIRST_ENTITY] против [SECOND_ENTITY]: какой из них лучше всего подходит для вашего применения?
0	Эти результаты хорошо видны на примере прошлых студентов лучших институтов, таких как cept, iit’s, iisc, nift и nid .	iit	iisc			Эти результаты хорошо видны на примере прошлых студентов лучших институтов, таких как cept, [FIRST_ENTITY]’s, [SECOND_ENTITY], nift и nid .
2	Кстати, некоторые исследователи считают, что собаки москвичей живут лучше, чем люди в пригороде.	собак	люд			Кстати, некоторые исследователи считают, что [FIRST_ENTITY] москвичей живут лучше, чем [SECOND_ENTITY] в пригороде.
0	Вообще клиентка анн-софи досталась непростая: флорентийская художница купила жилье в париже, для того чтобы быть поближе к мужу-финансисту, работающему в лондоне.	лондон	париж			Вообще клиентка анн-софи досталась непростая: флорентийская художница купила жилье в [SECOND_ENTITY], для того чтобы быть поближе к мужу-финансисту, работающему в [FIRST_ENTITY].
0	И полезнее было бы это самое мясо потушить, дабы не усугублять его излишнюю жирность жареньем или запеканием.	запека	жар		полезн	И полезнее было бы это самое мясо потушить, дабы не усугублять его излишнюю жирность [SECOND_ENTITY] или [FIRST_ENTITY].
0	В целом пользователи youtube предпочитают простые, эффективные и доступные приложения.одно из лучших бесплатных приложений — lightworks, которое вы можете получить для устройств windows, mac и linux.	windows	linux			В целом пользователи youtube предпочитают простые, эффективные и доступные приложения.одно из лучших бесплатных приложений — lightworks, которое вы можете получить для устройств [FIRST_ENTITY], mac и [SECOND_ENTITY].
2	Пудра компактная, очень мягкая текстура, наносить лучше кисточкой, спонжем слишком большой расход.	кист	спонж			Пудра компактная, очень мягкая текстура, наносить лучше [FIRST_ENTITY], [SECOND_ENTITY] слишком большой расход.
0	Единственное, на чем стоит заострить внимание, — на ночь лучше класть обычную прокладку, хотя производители и опыт некоторых женщин показывает благополучное использование тампонов и ночью.	тампон	прокладк			Единственное, на чем стоит заострить внимание, — на ночь лучше класть обычную [SECOND_ENTITY], хотя производители и опыт некоторых женщин показывает благополучное использование [FIRST_ENTITY] и ночью.
0	Крепкий черный чай и кофе, включая очищенный от кофеина, являясь мощными стимуляторами, также подрывают нервную систему и вырабатывают зависимость от их приема.	коф	ча		кофеин	Крепкий черный [SECOND_ENTITY] и [FIRST_ENTITY], включая очищенный от [FIRST_ENTITY], являясь мощными стимуляторами, также подрывают нервную систему и вырабатывают зависимость от их приема.
0	Источник: главная тема: безопасность аналитика мнение программное обеспечение: антивирусы field_vote: выберите оценкуgive linux безопасней windows?	windows	linux			Источник: главная тема: безопасность аналитика мнение программное обеспечение: антивирусы field_vote: выберите оценкуgive [SECOND_ENTITY] безопасней [FIRST_ENTITY]?
0	С двухъядерным процессором с четырехъядерным процессором , увеличение основных процессоров значительно повысить производительность мобильного телефона и так, чтотелефон имеет лучший пользовательский опыт и скорость обработки данных.	двухъядерн	четырехъядерн	процессор		С [FIRST_ENTITY] процессором с [SECOND_ENTITY] процессором , увеличение основных процессоров значительно повысить производительность мобильного телефона и так, чтотелефон имеет лучший пользовательский опыт и скорость обработки данных.
0	А вот плоскую кисть и сухой спонж лучше не брать, чтобы не получить эффект маски.	кист	спонж			А вот плоскую [FIRST_ENTITY] и сухой [SECOND_ENTITY] лучше не брать, чтобы не получить эффект маски.
0	Что лучше: настоящие или искусственные елки?	настоя	искусствен	елк	лучш	Что лучше: [FIRST_ENTITY] или [SECOND_ENTITY] елки?
2	Создатели gpu для ps4 говорят, что gpu почти на 50% мощнее xbox one.	ps4	xbox, one			Создатели gpu для [FIRST_ENTITY] говорят, что gpu почти на 50% мощнее [SECOND_ENTITY].
3	Ну, с чаем всё гораздо хуже: т.е. если сделать более-менее среднестатистический кофе мы можем – ну вот те же самые «чашка кофе», т.е. мы знаем, что это примерно 150 мл, в нём будет примерно 50 мг кофеина, и т.д., ну да, с разбросом.	коф	ча		кофеин	Ну, с [SECOND_ENTITY] всё гораздо хуже: т.е. если сделать более-менее среднестатистический [FIRST_ENTITY] мы можем – ну вот те же самые «[SECOND_ENTITY] [FIRST_ENTITY]», т.е. мы знаем, что это примерно 150 мл, в нём будет примерно 50 мг [FIRST_ENTITY], и т.д., ну да, с разбросом.
0	Чай и кофе чай и кофе можно пить как часть сбалансированной диеты.однако имейте в виду, что напитки с кофеином могут заставить организм быстрее вырабатывать мочу.	коф	ча		кофеин	[SECOND_ENTITY] и [FIRST_ENTITY] [SECOND_ENTITY] и [FIRST_ENTITY] можно пить как [SECOND_ENTITY] сбалансированной диеты.однако имейте в виду, что напитки с [FIRST_ENTITY] могут заставить организм быстрее вырабатывать мочу.
2	Наносить лучше кистью с искусственным ворсом или спонжем, так средство ляжет ровнее.	кист	спонж			Наносить лучше [FIRST_ENTITY] с искусственным ворсом или [SECOND_ENTITY], так средство ляжет ровнее.
2	Директор заявил, что xbox series x лучше playstation 5, хотя и не ...	Xbox	PlayStation			Директор заявил, что [FIRST_ENTITY] series x лучше [SECOND_ENTITY] 5, хотя и не ...
0	102 4a games представила улучшенную metro exodus, и на пк все равно круче, чем на playstation 5 и xbox series во время релиза metro exodus была одной из первых игр, которые поддерживали трассировку лучей.	Xbox	PlayStation			102 4a games представила улучшенную metro exodus, и на пк все равно круче, чем на [SECOND_ENTITY] 5 и [FIRST_ENTITY] series во время релиза metro exodus была одной из первых игр, которые поддерживали трассировку лучей.
0	Обновиться до macos monterey 12 rc могут владельцы компьютеров macbook (2016 и новее), macbook air (2015 и новее), macbook pro (2015 и новее), mac mini (2014 и новее), imac (2015 и новее), imac pro (2017 и новее), mac pro (2013 и новее).	2016	2015	macbook, pro		Обновиться до macos monterey 12 rc могут владельцы компьютеров macbook ([FIRST_ENTITY] и новее), macbook air ([SECOND_ENTITY] и новее), macbook pro ([SECOND_ENTITY] и новее), mac mini (2014 и новее), imac ([SECOND_ENTITY] и новее), imac pro (2017 и новее), mac pro (2013 и новее).
0	Или собаки, как и люди, иногда просто чувствуют себя лучше, дыша через рот?	собак	люд			Или [FIRST_ENTITY], как и [SECOND_ENTITY], иногда просто чувствуют себя лучше, дыша через рот?
0	Для лучшего опыта, пожалуйста, измените свой браузер на chrome, firefox, opera или internet explorer.	Internet, Explorer	Firefox			Для лучшего опыта, пожалуйста, измените свой браузер на chrome, [SECOND_ENTITY], opera или [FIRST_ENTITY].
3	Многие врачи не рекомендуют пользоваться тампонами по крайней мере две недели после аборта, в этот период лучше пользоваться гигиеническими прокладками.	тампон	прокладк			Многие врачи не рекомендуют пользоваться [FIRST_ENTITY] по крайней мере две недели после аборта, в этот период лучше пользоваться гигиеническими [SECOND_ENTITY].
0	Например, если вы летите самолетом airbus a320, лучше 8-15 ряды, в boeing 737-800 — с 12-го по 18-й.	Boeing	Airbus	самолет		Например, если вы летите самолетом [SECOND_ENTITY] a320, лучше 8-15 ряды, в [FIRST_ENTITY] 737-800 — с 12-го по 18-й.
0	После обеда или ближе к вечеру можно выходить на долгую прогулку; после обеда исключают напитки и продукты, содержащие кофеин или другие тонизирующие вещества (чай, кофе, шоколад, сладости, какао и т.п.); отказаться от употребления алкоголя.	коф	ча		кофеин	После обеда или ближе к вечеру можно выходить на долгую прогулку; после обеда исключают напитки и продукты, содержащие [FIRST_ENTITY] или другие тонизирующие вещества ([SECOND_ENTITY], [FIRST_ENTITY], шоколад, сладости, какао и т.п.); отказаться от употребления алкоголя.
0	Как применяется на очищенную и подготовленную к макияжу кожу нанести несколько капель тонального средства, равномерно распределить при помощи спонжа, специальной кисточки или пальцев.	кист	спонж			Как применяется на очищенную и подготовленную к макияжу кожу нанести несколько капель тонального средства, равномерно распределить при помощи [SECOND_ENTITY], специальной [FIRST_ENTITY] или пальцев.
0	Чем лучше наносить сс-крем — пальцами, кистью или спонжем?	кист	спонж			Чем лучше наносить сс-крем — пальцами, [FIRST_ENTITY] или [SECOND_ENTITY]?
0	Выступает на лучших сценах амстердама, лондона, парижа, вены, милана, мюнхена, мадрида, лос-анджелеса, нью-йорка, токио и других музыкальных столиц мира.	лондон	париж			Выступает на лучших сценах амстердама, [FIRST_ENTITY], [SECOND_ENTITY], вены, милана, мюнхена, мадрида, лос-анджелеса, нью-йорка, токио и других музыкальных столиц мира.
3	Мне же потребовались две попытки, пара ваток с мицеллярной водой и один почти-нервный-срыв, чтобы понять: лучше забить на спонжик и использовать кисточку.	кист	спонж			Мне же потребовались две попытки, пара ваток с мицеллярной водой и один почти-нервный-срыв, чтобы понять: лучше забить на [SECOND_ENTITY] и использовать [FIRST_ENTITY].
2	Не стоит перебарщивать с размером решетки, ведь помните, что газовый вариант позволяет готовить пищу быстрее, чем угольный.	газов	угольн	решетк		Не стоит перебарщивать с размером решетки, ведь помните, что [FIRST_ENTITY] вариант позволяет готовить пищу быстрее, чем [SECOND_ENTITY].
2	Значительно доработана поддержка веб-стандартов и улучшена обработка html, css (с полной поддержкой css 2.1) и javascript.	javascript	html, css			Значительно доработана поддержка веб-стандартов и улучшена обработка [SECOND_ENTITY] (с полной поддержкой css 2.1) и [FIRST_ENTITY].
0	Убрать карточки новостей со страницы поисковика нельзя: либо пользуйтесь облегченной версией, доступной по либо смените поисковую службу и страницу запуска обозревателя, например, на google или yahoo.	Google	Yahoo		поиск	Убрать карточки новостей со страницы поисковика нельзя: либо пользуйтесь облегченной версией, доступной по либо смените поисковую службу и страницу запуска обозревателя, например, на [FIRST_ENTITY] или [SECOND_ENTITY].
0	Когда приближается сезон праздников, во многих семьях возникают одни и те же споры: настоящие елки или искусственные на сайте - какая лучше?	настоя	искусствен	елк	лучш	Когда приближается сезон праздников, во многих семьях возникают одни и те же споры: [FIRST_ENTITY] елки или [SECOND_ENTITY] на сайте - какая лучше?
0	«я улучшаю ваши веб-страницы и делаю их лучше, полезнее и более эффективно для всех, включая людей, которые посещают ваш сайт и для поисковых систем, таких как google, yahoo и bing ».	Google	Yahoo		поиск	«я улучшаю ваши веб-страницы и делаю их лучше, полезнее и более эффективно для всех, включая людей, которые посещают ваш сайт и для поисковых систем, таких как [FIRST_ENTITY], [SECOND_ENTITY] и bing ».
0	Провайдер beeline предоставляет проводной и беспроводной доступ в интернет, постоянно улучшая качество услуг.	проводн	беспроводн		интернет	Провайдер beeline предоставляет [FIRST_ENTITY] и [SECOND_ENTITY] доступ в интернет, постоянно улучшая качество услуг.
0	Узнай больше о том, что лучше – прокладки или тампоны.	тампон	прокладк			Узнай больше о том, что лучше – [SECOND_ENTITY] или [FIRST_ENTITY].
2	Все цвета очень пигментированные и лучше растушёвываются пальцами или спонжем, чем кистью.	кист	спонж			Все цвета очень пигментированные и лучше растушёвываются пальцами или [SECOND_ENTITY], чем [FIRST_ENTITY].
0	Поступающие в аспирантуру сдают конкурсные экзамены по специальности, истории кпсс и одному из иностранных языков (английский, французский, немецкий, испанский и итальянский) в объеме программы для высших учебных заведений.	английск	испанск	язык		Поступающие в аспирантуру сдают конкурсные экзамены по специальности, истории кпсс и одному из иностранных языков ([FIRST_ENTITY], французский, немецкий, [SECOND_ENTITY] и итальянский) в объеме программы для высших учебных заведений.
0	10 самых популярных шаблонов для wordpress, joomla 7 вещей, которые должен включать каждый стартап-сайт какой хостинг лучше — linux или windows?	windows	linux			10 самых популярных шаблонов для wordpress, joomla 7 вещей, которые должен включать каждый стартап-сайт какой хостинг лучше — [SECOND_ENTITY] или [FIRST_ENTITY]?
0	В 2021 году игра получит бесплатное улучшение графики для xbox series x/s и playstation 5, однако пока разработчики не показывают, как будет выглядеть эта версия проекта.	Xbox	PlayStation			В 2021 году игра получит бесплатное улучшение графики для [FIRST_ENTITY] series x/s и [SECOND_ENTITY] 5, однако пока разработчики не показывают, как будет выглядеть эта версия проекта.
2	Во-вторых, он весит совсем немного, а в автономном походе любые 50 грамм имеют значение, поэтому лучше взять аккуратный керамический нож, чем тащить на себе тяжелый стальной тесак.	стальн	керамическ	нож		Во-вторых, он весит совсем немного, а в автономном походе любые 50 грамм имеют значение, поэтому лучше взять аккуратный [SECOND_ENTITY] нож, чем тащить на себе тяжелый [FIRST_ENTITY] тесак.
0	С каждым днём всё больше думаешь - а может быть животные лучше людей?	люд	животн			С каждым днём всё больше думаешь - а может быть [SECOND_ENTITY] лучше [FIRST_ENTITY]?
0	Однажды один из людей троекурова обидел дубровского, заметив, что собакам троекурова живется лучше, чем иным дворянам (намек был явно на андрея гавриловича).	собак	люд			Однажды один из [SECOND_ENTITY] троекурова обидел дубровского, заметив, что [FIRST_ENTITY] троекурова живется лучше, чем иным дворянам (намек был явно на андрея гавриловича).
3	Часто такой проблемой как, не отправляются сообщения вконтакте, страдают браузеры microsoft internet explorer (ie) и opera, поэтому лучше воспользоваться mozilla firefox;	Internet, Explorer	Firefox			Часто такой проблемой как, не отправляются сообщения вконтакте, страдают браузеры microsoft [FIRST_ENTITY] (ie) и opera, поэтому лучше воспользоваться mozilla [SECOND_ENTITY];
2	Разработчики довольно агрессивно заявляют о том, что safari загружает страницы в 2 раза быстрее internet explorer 7, на 60% быстрее firefox и почти в 3 раза быстрее чем opera!	Internet, Explorer	Firefox			Разработчики довольно агрессивно заявляют о том, что safari загружает страницы в 2 раза быстрее [FIRST_ENTITY] 7, на 60% быстрее [SECOND_ENTITY] и почти в 3 раза быстрее чем opera!
0	На кого лучше ставить новичку в футболе, хоккее, теннисе, баскетболе.	баскетбол	футбол			На кого лучше ставить новичку в [SECOND_ENTITY], хоккее, теннисе, [FIRST_ENTITY].
2	Сейчас лучше всего наш переводчик работает с английского языка на немецкий, испанский, французский.	английск	испанск	язык		Сейчас лучше всего наш переводчик работает с [FIRST_ENTITY] языка на немецкий, [SECOND_ENTITY], французский.
2	Причём в чае кофеина содержится гораздо больше, чем в кофе, но чайный кофеин (танин) действует на наш организм мягче, чем кофейный.	коф	ча		кофеин	Причём в [SECOND_ENTITY] [FIRST_ENTITY] содержится гораздо больше, чем в [FIRST_ENTITY], но [SECOND_ENTITY] [FIRST_ENTITY] (танин) действует на наш организм мягче, чем [FIRST_ENTITY].
0	Они имеют скругленные вылеты и приземления, которая позволяет лучше контролировать скорость на самокате, скейтборде, велосипеде, чем в квоторе или спайне.	скейтборд	велосипед			Они имеют скругленные вылеты и приземления, которая позволяет лучше контролировать скорость на самокате, [FIRST_ENTITY], [SECOND_ENTITY], чем в квоторе или спайне.
0	Записаться обучение по подготовке к экзаменам ielts и toefl лучше всего начинать с уровня intermediate – для того, чтобы узнать о своем уровне, пройдите наш специальный тест на знание языка.	IELTS	TOEFL			Записаться обучение по подготовке к экзаменам [FIRST_ENTITY] и [SECOND_ENTITY] лучше всего начинать с уровня intermediate – для того, чтобы узнать о своем уровне, пройдите наш специальный тест на знание языка.
0	Сразу хочу оговориться, что форматирование лучше всего производить в формат fat32, т.к. на отформатированную флешку в данном формате записанные файлы будут одинаково правильно читаться как в linux, так и в windows.	windows	linux			Сразу хочу оговориться, что форматирование лучше всего производить в формат fat32, т.к. на отформатированную флешку в данном формате записанные файлы будут одинаково правильно читаться как в [SECOND_ENTITY], так и в [FIRST_ENTITY].
3	Преимущества прокладок как бы ни были удобны тампоны, если вы хотите, чтобы месячные закончились как можно быстрее, тампоны лучше заменить гигиеническими прокладками.	тампон	прокладк			Преимущества прокладок как бы ни были удобны [FIRST_ENTITY], если вы хотите, чтобы месячные закончились как можно быстрее, [FIRST_ENTITY] лучше заменить гигиеническими [SECOND_ENTITY].
0	Китайские технологические гиганты baidu, alibaba и tencent (далее — bat) вкладывались в развитие финансовых сервисов намного активнее своих коллег — google, apple, facebook и amazon (далее — gafa).	Apple	Google		технолог	Китайские технологические гиганты baidu, alibaba и tencent (далее — bat) вкладывались в развитие финансовых сервисов намного активнее своих коллег — [SECOND_ENTITY], [FIRST_ENTITY], facebook и amazon (далее — gafa).
2	Но гэри предпочитает баскетбол, потому что он говорит, что это быстрее и увлекательнее, чем футбол.	баскетбол	футбол			Но гэри предпочитает [FIRST_ENTITY], потому что он говорит, что это быстрее и увлекательнее, чем [SECOND_ENTITY].
2	При этом он наиболее гигиеничен — синтетическую кисть и руки проще и быстрее можно продезинфицировать, чем спонж или кисть из натурального ворса.	кист	спонж			При этом он наиболее гигиеничен — синтетическую [FIRST_ENTITY] и руки проще и быстрее можно продезинфицировать, чем [SECOND_ENTITY] или [FIRST_ENTITY] из натурального ворса.
0	И только в силах людей сделать жизнь наших друзей-собак лучше и счастливее.	собак	люд			И только в силах [SECOND_ENTITY] сделать жизнь наших друзей-[FIRST_ENTITY] лучше и счастливее.
0	Кремовые текстуры лучше всего растушевывать пальцами, кистью из искусственных волокон или спонжем.	кист	спонж			Кремовые текстуры лучше всего растушевывать пальцами, [FIRST_ENTITY] из искусственных волокон или [SECOND_ENTITY].
0	Такое воздействие кофе и кофеина на сосуды мозга, отлично понятно гипотоникам, потому часто лучше испить чашечку натурального кофе чтоб повысить давление, чем прибегать к помощи медикаментов.	коф	ча		кофеин	Такое воздействие [FIRST_ENTITY] и [FIRST_ENTITY] на сосуды мозга, отлично понятно гипотоникам, потому [SECOND_ENTITY] лучше испить [SECOND_ENTITY] натурального [FIRST_ENTITY] чтоб повысить давление, чем прибегать к помощи медикаментов.
0	По мнению диетологов, готовить мясо в аппарате су-вид полезнее, чем жарить на сковороде или запекать в духовке, особенно тем, кто имеет избыточную массу тела и повышенный уровень холестерина.	запека	жар		полезн	По мнению диетологов, готовить мясо в аппарате су-вид полезнее, чем [SECOND_ENTITY] на сковороде или [FIRST_ENTITY] в духовке, особенно тем, кто имеет избыточную массу тела и повышенный уровень холестерина.
0	Как определить скорость wi-fi или интернет-соединения мы перечислили здесь лучшие способы проверки скорости интернет-соединения в вашей системе, независимо от того, какое проводное или беспроводное подключение вы используете.	проводн	беспроводн		интернет	Как определить скорость wi-fi или интернет-соединения мы перечислили здесь лучшие способы проверки скорости интернет-соединения в вашей системе, независимо от того, какое [FIRST_ENTITY] или [SECOND_ENTITY] подключение вы используете.
2	Сайт-кинотеатр лучше всего работает на браузерах, версии которых не ниже указанных: internet explorer 8.0 , firefox 19.0, opera 12.14, google chrome 25.0.	Internet, Explorer	Firefox			Сайт-кинотеатр лучше всего работает на браузерах, версии которых не ниже указанных: [FIRST_ENTITY] 8.0 , [SECOND_ENTITY] 19.0, opera 12.14, google chrome 25.0.
0	Статьи по теме: как объединить людей какое животное ближе всего к человеку как сплотить рабочий коллектив вопрос «как перестать ненавидеть людей, особенно, если работа связана напрямую с ними?»	люд	животн			Статьи по теме: как объединить [FIRST_ENTITY] какое [SECOND_ENTITY] ближе всего к человеку как сплотить рабочий коллектив вопрос «как перестать ненавидеть [FIRST_ENTITY], особенно, если работа связана напрямую с ними?»
0	Рассмотрим, где лучше взять автокредит — в банке или в автосалоне.	автосалон	банк		автокред	Рассмотрим, где лучше взять автокредит — в [SECOND_ENTITY] или в [FIRST_ENTITY].
2	Электрическая духовка обеспечивает лучшее качество выпечки по сравнению с газовой, так как возможна одновременная работа двух тэнов.	газов	электрическ	духовк	выпечк	[SECOND_ENTITY] духовка обеспечивает лучшее качество выпечки по сравнению с [FIRST_ENTITY], так как возможна одновременная работа двух тэнов.
0	Зырить четырехъядерный смартфон meizu mx выйдет в продажу в мае в начале этого месяца был официально представлен смартфон meizu mx, точнее, его версия с 1, 4 ггц двухъядерным процессором samsung exynos 4210.	двухъядерн	четырехъядерн	процессор		Зырить [SECOND_ENTITY] смартфон meizu mx выйдет в продажу в мае в начале этого месяца был официально представлен смартфон meizu mx, точнее, его версия с 1, 4 ггц [FIRST_ENTITY] процессором samsung exynos 4210.
0	Если сравнить две приставки между собой по техническим параметрам то, по словам сотрудников из digital foundry, xbox one x мощней playstation 4pro в 3.3 раза.	Xbox	PlayStation			Если сравнить две приставки между собой по техническим параметрам то, по словам сотрудников из digital foundry, [FIRST_ENTITY] one x мощней [SECOND_ENTITY] 4pro в 3.3 раза.
0	«последние 24 часа я провёл в ...что шутер в скором времени получит обновление, призванное повысить производительность на windows 7, однако дуэт из windows 8 и directx 11.1 всё ещё остаются наилучшим ...	7	8	Windows	производительн	«последние 24 часа я провёл в ...что шутер в скором времени получит обновление, призванное повысить производительность на windows [FIRST_ENTITY], однако дуэт из windows [SECOND_ENTITY] и directx 11.1 всё ещё остаются наилучшим ...
0	Увеличить sanoflore натуральная косметика свотчи увлажнение уход вокруг глаз лучшее за месяц подборка праздничных пигментов на новый год от tammy tanuka есть решение: мои средства для быстрого очищения кистей и спонжей капризное великолепие.	кист	спонж			Увеличить sanoflore натуральная косметика свотчи увлажнение уход вокруг глаз лучшее за месяц подборка праздничных пигментов на новый год от tammy tanuka есть решение: мои средства для быстрого очищения [FIRST_ENTITY] и [SECOND_ENTITY] капризное великолепие.
0	Audi s8 против audi rs6 - гонка групповой тест mercedes s-class, bmw 7 series и audi a8 review - какое авто лучше?	BMW	Audi			[SECOND_ENTITY] s8 против [SECOND_ENTITY] rs6 - гонка групповой тест mercedes s-class, [FIRST_ENTITY] 7 series и [SECOND_ENTITY] a8 review - какое авто лучше?
0	Поделиться с друзьями: вам также может быть интересно иномарки 0 тойота рав 4 2017 года или форд куга что лучше автомобильные новости, тест-драйвы с видео и фото.	форд	тойот			Поделиться с друзьями: вам также может быть интересно иномарки 0 [SECOND_ENTITY] рав 4 2017 года или [FIRST_ENTITY] куга что лучше автомобильные новости, тест-драйвы с видео и фото.
0	В прорези удобно наносить краску спонжем, круглой кистью, аэрографом, трафарет легко вдавливается в глину, декоративная штукатурка, акриловые фактурные гели лучше всего наносить шпателем и убирать лишнее им же, не повредив трафарет.	кист	спонж			В прорези удобно наносить краску [SECOND_ENTITY], круглой [FIRST_ENTITY], аэрографом, трафарет легко вдавливается в глину, декоративная штукатурка, акриловые фактурные гели лучше всего наносить шпателем и убирать лишнее им же, не повредив трафарет.
0	Способ применения равномерно нанести на предварительно очищенную кожу лица и шеи с помощью влажного спонжа, кисти для основы или просто пальцами.	кист	спонж			Способ применения равномерно нанести на предварительно очищенную кожу лица и шеи с помощью влажного [SECOND_ENTITY], [FIRST_ENTITY] для основы или просто пальцами.
0	Кроме людей есть собаки и коты — собак лучше не трогать, а коты прекрасно чувствуют себя в качестве глушителей на дробовике.	собак	люд			Кроме [SECOND_ENTITY] есть [FIRST_ENTITY] и коты — [FIRST_ENTITY] лучше не трогать, а коты прекрасно чувствуют себя в качестве глушителей на дробовике.
0	Крупные компании, работающие в сфере высоких технологий (например, google и apple), предлагают своим сотрудникам обучение практикам осознанности и медитации для улучшения их трудоспособности и благополучия.	Apple	Google		технолог	Крупные компании, работающие в сфере высоких технологий (например, [SECOND_ENTITY] и [FIRST_ENTITY]), предлагают своим сотрудникам обучение практикам осознанности и медитации для улучшения их трудоспособности и благополучия.
0	Индия, сша, испания, турция, греция, китай, ирландия, польша и мексика производят мрамор высшего качества.кварц в больших количествах можно найти в альпах, бразилии, мадагаскаре, японии, арканзасе и нью-йорке.	сша	кита		больш	Индия, [FIRST_ENTITY], испания, турция, греция, [SECOND_ENTITY], ирландия, польша и мексика производят мрамор высшего качества.кварц в больших количествах можно найти в альпах, бразилии, мадагаскаре, японии, арканзасе и нью-йорке.
0	Лабораторная, сдается только в определенный день (где-то раз в три месяца) и только в person professional center – ближайшие к нам находятся в турции (стамбул), германии (франкфурт), греции (афины), франции (париж), англии (лондон).	лондон	париж			Лабораторная, сдается только в определенный день (где-то раз в три месяца) и только в person professional center – ближайшие к нам находятся в турции (стамбул), германии (франкфурт), греции (афины), франции ([SECOND_ENTITY]), англии ([FIRST_ENTITY]).
